Metric,SNR_Bin_dB,Variant_1,Variant_2,Mean_Difference,P_Value_Adj,Cohens_d
throughput_mbps,35,Legacy_Veno,Veno_RTTGrowthGuard,-0.493,0.0183,1.52
throughput_mbps,35,Veno_AdaptiveBeta,Veno_RTTGrowthGuard,-0.801,0.0002,1.77
throughput_mbps,32,Legacy_Veno,Veno_AdaptiveBeta,0.745,0.0001,2.36
throughput_mbps,32,Veno_AdaptiveBeta,Veno_RTTGrowthGuard,-0.875,0.0,2.67
throughput_mbps,29,Legacy_Veno,Veno_RTTGrowthGuard,-0.66,0.0147,1.94
throughput_mbps,29,Veno_AdaptiveBeta,Veno_RTTGrowthGuard,-0.84,0.0029,2.46
throughput_mbps,26,Veno_AdaptiveBeta,Veno_RTTGrowthGuard,-0.873,0.0086,1.4
throughput_mbps,14,Veno_AdaptiveBeta,Veno_RTTGrowthGuard,-2.236,0.0087,2.34
throughput_mbps,11,Legacy_Veno,Veno_RTTGrowthGuard,-3.004,0.0041,2.59
throughput_mbps,11,Veno_AdaptiveBeta,Veno_RTTGrowthGuard,-2.018,0.0445,1.56
throughput_mbps,2,Legacy_Veno,Veno_AdaptiveBeta,0.289,0.0,21.89
throughput_mbps,2,Veno_AdaptiveBeta,Veno_RTTGrowthGuard,-0.304,0.0,28.35
rtt_ms,35,Legacy_Veno,Veno_AdaptiveBeta,-4.192,0.0,6.2
rtt_ms,35,Legacy_Veno,Veno_RTTGrowthGuard,4.488,0.0,5.8
rtt_ms,35,Veno_AdaptiveBeta,Veno_RTTGrowthGuard,8.68,0.0,10.61
rtt_ms,32,Legacy_Veno,Veno_AdaptiveBeta,-4.394,0.0,3.25
rtt_ms,32,Legacy_Veno,Veno_RTTGrowthGuard,4.089,0.0,3.16
rtt_ms,32,Veno_AdaptiveBeta,Veno_RTTGrowthGuard,8.483,0.0,6.53
rtt_ms,29,Legacy_Veno,Veno_AdaptiveBeta,-4.5,0.0218,1.98
rtt_ms,29,Veno_AdaptiveBeta,Veno_RTTGrowthGuard,8.08,0.0003,3.91
rtt_ms,26,Legacy_Veno,Veno_AdaptiveBeta,-5.033,0.0029,1.36
rtt_ms,26,Veno_AdaptiveBeta,Veno_RTTGrowthGuard,7.764,0.0,3.01
rtt_ms,23,Legacy_Veno,Veno_AdaptiveBeta,-7.086,0.0022,1.76
rtt_ms,23,Veno_AdaptiveBeta,Veno_RTTGrowthGuard,7.838,0.0008,4.51
rtt_ms,2,Legacy_Veno,Veno_AdaptiveBeta,-68.132,0.0003,3.19
rtt_ms,2,Legacy_Veno,Veno_RTTGrowthGuard,-79.864,0.0001,5.43
retransmissions,35,Legacy_Veno,Veno_AdaptiveBeta,0.7,0.0097,1.47
retransmissions,20,Veno_AdaptiveBeta,Veno_RTTGrowthGuard,-1.2,0.0205,1.23
retransmissions,11,Legacy_Veno,Veno_AdaptiveBeta,4.6,0.0034,3.14
retransmissions,11,Legacy_Veno,Veno_RTTGrowthGuard,3.0,0.0453,1.79
retransmissions,5,Legacy_Veno,Veno_AdaptiveBeta,18.8,0.0,4.46
retransmissions,5,Legacy_Veno,Veno_RTTGrowthGuard,18.8,0.0,3.99
